# Derived from GF 0023-2020, 通用规范汉字笔顺规范, published by PRC MOE/SCLW.
# The table reproduces the 8105 codepoints and official sequence/level.
# columns: sequence, char, codepoint, level
0203	扔	U+6254	1
0204	去	U+53BB	1
0205	甘	U+7518	1
0206	世	U+4E16	1
0207	艾	U+827E	1
0208	古	U+53E4	1
0209	节	U+8282	1
0210	本	U+672C	1
0211	术	U+672F	1
0212	可	U+53EF	1
0213	丙	U+4E19	1
0214	左	U+5DE6	1
0215	厉	U+5389	1
0216	石	U+77F3	1
0217	右	U+53F3	1
0218	布	U+5E03	1
0219	夯	U+592F	1
0220	戊	U+620A	1
0221	龙	U+9F99	1
0222	平	U+5E73	1
0223	灭	U+706D	1
0224	轧	U+8F67	1
0225	东	U+4E1C	1
0226	卡	U+5361	1
0227	北	U+5317	1
0228	占	U+5360	1
0229	凸	U+51F8	1
0230	卢	U+5362	1
0231	业	U+4E1A	1
0232	旧	U+65E7	1
0233	帅	U+5E05	1
0234	归	U+5F52	1
0235	旦	U+65E6	1
0236	目	U+76EE	1
0237	且	U+4E14	1
0238	叶	U+53F6	1
0239	甲	U+7532	1
0240	申	U+7533	1
0241	叮	U+53EE	1
0242	电	U+7535	1
0243	号	U+53F7	1
0244	田	U+7530	1
0245	由	U+7531	1
0246	只	U+53EA	1
0247	叭	U+53ED	1
0248	史	U+53F2	1
0249	央	U+592E	1
0250	兄	U+5144	1
0251	叽	U+53FD	1
0252	叼	U+53FC	1
0253	叫	U+53EB	1
0254	叩	U+53E9	1
0255	叨	U+53E8	1
0256	另	U+53E6	1
0257	叹	U+53F9	1
0258	冉	U+5189	1
0259	皿	U+76BF	1
0260	凹	U+51F9	1
0261	囚	U+56DA	1
0262	四	U+56DB	1
0263	生	U+751F	1
0264	矢	U+77E2	1
0265	失	U+5931	1
0266	乍	U+4E4D	1
0267	禾	U+79BE	1
0268	丘	U+4E18	1
0269	付	U+4ED8	1
0270	仗	U+4ED7	1
0271	代	U+4EE3	1
0272	仙	U+4ED9	1
0273	们	U+4EEC	1
0274	仪	U+4EEA	1
0275	白	U+767D	1
0276	仔	U+4ED4	1
0277	他	U+4ED6	1
0278	斥	U+65A5	1
0279	瓜	U+74DC	1
0280	乎	U+4E4E	1
0281	丛	U+4E1B	1
0282	令	U+4EE4	1
0283	用	U+7528	1
0284	甩	U+7529	1
0285	印	U+5370	1
0286	尔	U+5C14	1
0287	乐	U+4E50	1
0288	句	U+53E5	1
0289	匆	U+5306	1
0290	册	U+518C	1
0291	卯	U+536F	1
0292	犯	U+72AF	1
0293	外	U+5916	1
0294	处	U+5904	1
0295	冬	U+51AC	1
0296	鸟	U+9E1F	1
0297	务	U+52A1	1
0298	包	U+5305	1
0299	饥	U+9965	1
0300	主	U+4E3B	1
0301	市	U+5E02	1
0302	立	U+7ACB	1
0303	冯	U+51AF	1
0304	玄	U+7384	1
0305	闪	U+95EA	1
0306	兰	U+5170	1
0307	半	U+534A	1
0308	汁	U+6C41	1
0309	汇	U+6C47	1
0310	头	U+5934	1
0311	汉	U+6C49	1
0312	宁	U+5B81	1
0313	穴	U+7A74	1
0314	它	U+5B83	1
0315	讨	U+8BA8	1
0316	写	U+5199	1
0317	让	U+8BA9	1
0318	礼	U+793C	1
0319	训	U+8BAD	1
0320	议	U+8BAE	1
0321	必	U+5FC5	1
0322	讯	U+8BAF	1
0323	记	U+8BB0	1
0324	永	U+6C38	1
0325	司	U+53F8	1
0326	尼	U+5C3C	1
0327	民	U+6C11	1
0328	弗	U+5F17	1
0329	弘	U+5F18	1
0330	出	U+51FA	1
0331	辽	U+8FBD	1
0332	奶	U+5976	1
0333	奴	U+5974	1
0334	召	U+53EC	1
0335	加	U+52A0	1
0336	皮	U+76AE	1
0337	边	U+8FB9	1
0338	孕	U+5B55	1
0339	发	U+53D1	1
0340	圣	U+5723	1
0341	对	U+5BF9	1
0342	台	U+53F0	1
0343	矛	U+77DB	1
0344	纠	U+7EA0	1
0345	母	U+6BCD	1
0346	幼	U+5E7C	1
0347	丝	U+4E1D	1
0348	邦	U+90A6	1
0349	式	U+5F0F	1
0350	迂	U+8FC2	1
0351	刑	U+5211	1
0352	戎	U+620E	1
0353	动	U+52A8	1
0354	扛	U+625B	1
0355	寺	U+5BFA	1
0356	吉	U+5409	1
0357	扣	U+6263	1
0358	考	U+8003	1
0359	托	U+6258	1
0360	老	U+8001	1
0361	巩	U+5DE9	1
0362	圾	U+573E	1
0363	执	U+6267	1
0364	扩	U+6269	1
0365	扫	U+626B	1
0366	地	U+5730	1
0367	场	U+573A	1
0368	扬	U+626C	1
0369	耳	U+8033	1
0370	芋	U+828B	1
0371	共	U+5171	1
0372	芒	U+8292	1
0373	亚	U+4E9A	1
0374	芝	U+829D	1
0375	朽	U+673D	1
0376	朴	U+6734	1
0377	机	U+673A	1
0378	权	U+6743	1
0379	过	U+8FC7	1
0380	臣	U+81E3	1
0381	吏	U+540F	1
0382	再	U+518D	1
0383	协	U+534F	1
0384	西	U+897F	1
0385	压	U+538B	1
0386	厌	U+538C	1
0387	戌	U+620C	1
0388	在	U+5728	1
0389	百	U+767E	1
0390	有	U+6709	1
0391	存	U+5B58	1
0392	而	U+800C	1
0393	页	U+9875	1
0394	匠	U+5320	1
0395	夸	U+5938	1
0396	夺	U+593A	1
0397	灰	U+7070	1
0398	达	U+8FBE	1
0399	列	U+5217	1
0400	死	U+6B7B	1
0401	成	U+6210	1
0402	夹	U+5939	1
0403	夷	U+5937	1
0404	轨	U+8F68	1
0405	邪	U+90AA	1
0406	尧	U+5C27	1
0407	划	U+5212	1
0408	迈	U+8FC8	1
0409	毕	U+6BD5	1
0410	至	U+81F3	1
0411	此	U+6B64	1
0412	贞	U+8D1E	1
0413	师	U+5E08	1
0414	尘	U+5C18	1
0415	尖	U+5C16	1
0416	劣	U+52A3	1
0417	光	U+5149	1
0418	当	U+5F53	1
0419	早	U+65E9	1
0420	吁	U+5401	1
0421	吐	U+5410	1
0422	吓	U+5413	1
0423	虫	U+866B	1
0424	曲	U+66F2	1
0425	团	U+56E2	1
0426	吕	U+5415	1
0427	同	U+540C	1
0428	吊	U+540A	1
0429	吃	U+5403	1
0430	因	U+56E0	1
0431	吸	U+5438	1
0432	吗	U+5417	1
0433	吆	U+5406	1
0434	屿	U+5C7F	1
0435	屹	U+5C79	1
0436	岁	U+5C81	1
0437	帆	U+5E06	1
0438	回	U+56DE	1
0439	岂	U+5C82	1
0440	则	U+5219	1
0441	刚	U+521A	1
0442	网	U+7F51	1
0443	肉	U+8089	1
0444	年	U+5E74	1
0445	朱	U+6731	1
0446	先	U+5148	1
0447	丢	U+4E22	1
0448	廷	U+5EF7	1
0449	舌	U+820C	1
0450	竹	U+7AF9	1
0451	迁	U+8FC1	1
0452	乔	U+4E54	1
0453	迄	U+8FC4	1
0454	伟	U+4F1F	1
0455	传	U+4F20	1
0456	乒	U+4E52	1
0457	乓	U+4E53	1
0458	休	U+4F11	1
0459	伍	U+4F0D	1
0460	伏	U+4F0F	1
0461	优	U+4F18	1
0462	臼	U+81FC	1
0463	伐	U+4F10	1
0464	延	U+5EF6	1
0465	仲	U+4EF2	1
0466	件	U+4EF6	1
0467	任	U+4EFB	1
0468	伤	U+4F24	1
0469	价	U+4EF7	1
0470	伦	U+4F26	1
0471	份	U+4EFD	1
0472	华	U+534E	1
0473	仰	U+4EF0	1
0474	仿	U+4EFF	1
0475	伙	U+4F19	1
0476	伪	U+4F2A	1
0477	自	U+81EA	1
0478	伊	U+4F0A	1
0479	血	U+8840	1
0480	向	U+5411	1
0481	似	U+4F3C	1
0482	后	U+540E	1
0483	行	U+884C	1
0484	舟	U+821F	1
0485	全	U+5168	1
0486	会	U+4F1A	1
0487	杀	U+6740	1
0488	合	U+5408	1
0489	兆	U+5146	1
0490	企	U+4F01	1
0491	众	U+4F17	1
0492	爷	U+7237	1
0493	伞	U+4F1E	1
0494	创	U+521B	1
0495	肌	U+808C	1
0496	肋	U+808B	1
0497	朵	U+6735	1
0498	杂	U+6742	1
0499	危	U+5371	1
0500	旬	U+65EC	1
0501	旨	U+65E8	1
0502	旭	U+65ED	1
0503	负	U+8D1F	1
0504	匈	U+5308	1
0505	名	U+540D	1
0506	各	U+5404	1
0507	多	U+591A	1
0508	争	U+4E89	1
0509	色	U+8272	1
0510	壮	U+58EE	1
0511	冲	U+51B2	1
0512	妆	U+5986	1
0513	冰	U+51B0	1
0514	庄	U+5E84	1
0515	庆	U+5E86	1
0516	亦	U+4EA6	1
0517	刘	U+5218	1
0518	齐	U+9F50	1
0519	交	U+4EA4	1
0520	衣	U+8863	1
0521	次	U+6B21	1
0522	产	U+4EA7	1
0523	决	U+51B3	1
0524	亥	U+4EA5	1
0525	充	U+5145	1
0526	妄	U+5984	1
0527	闭	U+95ED	1
0528	问	U+95EE	1
0529	闯	U+95EF	1
0530	羊	U+7F8A	1
0531	并	U+5E76	1
0532	关	U+5173	1
0533	米	U+7C73	1
